BotName, Behaviour, PositionX, PositionY, OrientationX, OrientationY,  DistanceToEnemyFlag, DistanceToOwnFlag, DistanceToEnemyBase, DistanceToOwnBase, DistanceToEnemyFlagScore, DistanceToOwnFlagScore, DistanceToEnemyFlagSpawn, DistanceToOwnFlagSpawn, Visibility, DistanceToNearestEnemy, GameState
0, 0, 56, 4, 2.7195969, 18, 14, 74, 50, 46, 54, 18, 18, 25, 999999, 0, 3, 9233

0, 0, 56, 4, 2.7091825, 18, 14, 74, 50, 46, 54, 18, 18, 25, 999999, 0, 3, 9366
0, 0, 55, 4, 2.7067604, 17, 13, 73, 51, 45, 53, 17, 17, 24, 999999, 0, 3, 9500
0, 0, 55, 4, 2.706197, 17, 13, 73, 51, 45, 53, 17, 17, 24, 999999, 0, 3, 9633
0, 0, 55, 5, 2.7060661, 16, 12, 72, 50, 44, 52, 16, 16, 22, 999999, 0, 3, 9766
0, 0, 54, 5, 2.7060359, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 9900
0, 0, 54, 5, 2.6571648, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 10033
0, 0, 54, 5, 2.6457977, 15, 11, 71, 51, 43, 51, 15, 15, 25, 999999, 0, 3, 10166
0, 0, 53, 5, 2.6431544, 14, 10, 70, 52, 42, 50, 14, 14, 24, 999999, 0, 3, 10300
0, 0, 53, 6, 2.6425395, 13, 9, 69, 51, 41, 49, 13, 13, 27, 999999, 0, 3, 10433
0, 0, 52, 6, 2.642443, 12, 8, 68, 52, 42, 50, 12, 12, 27, 999999, 0, 3, 11500

0, 0, 52, 6, 2.7579234, 12, 8, 68, 52, 42, 50, 12, 12, 27, 999999, 0, 3, 11633

0, 0, 52, 6, 2.8598683, 12, 8, 68, 52, 42, 50, 12, 12, 27, 11, 1, 3, 11766

0, 0, 52, 7, 2.750829, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 12033
0, 0, 52, 7, 2.8848279, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 12166
0, 0, 52, 7, 2.95917, 11, 7, 67, 51, 41, 49, 11, 11, 32, 999999, 0, 3, 12300
0, 0, 51, 7, 3.0067594, 10, 6, 66, 52, 42, 50, 10, 10, 31, 999999, 0, 3, 12433
0, 0, 51, 7, 3.0440655, 10, 6, 66, 52, 42, 50, 10, 10, 31, 999999, 0, 3, 12566
