@relation 'TrainingData-weka.filters.unsupervised.attribute.Remove-R1,3-4,18-weka.filters.unsupervised.attribute.Remove-R3-4'

@attribute ' Behaviour' {0,1,2,3}
@attribute ' Orientation' numeric
@attribute ' DistanceToEnemyBase' numeric
@attribute ' DistanceToOwnBase' numeric
@attribute ' DistanceToEnemyFlagScore' numeric
@attribute ' DistanceToOwnFlagScore' numeric
@attribute ' DistanceToEnemyFlagSpawn' numeric
@attribute ' DistanceToOwnFlagSpawn' numeric
@attribute ' Visibility' numeric
@attribute ' DistanceToNearestEnemy' numeric
@attribute ' seesEnemy' {0,1}
@attribute ' GameState' numeric

@data
1,-2.965913,76,46,48,56,20,20,33,999999,0,3
1,-2.81294,76,46,48,56,20,20,33,999999,0,3
1,-2.777361,76,46,48,56,20,20,33,999999,0,3
1,-2.769086,75,47,47,55,19,19,25,999999,0,3
1,-2.751836,75,49,47,55,19,19,28,999999,0,3
1,-2.724658,75,49,47,55,19,19,28,999999,0,3
1,-2.718336,74,50,46,54,18,18,25,999999,0,3
1,-2.716866,74,50,46,54,18,18,25,999999,0,3
1,-2.865165,74,52,46,54,18,18,25,999999,0,3
1,-2.922522,73,53,45,53,17,17,24,999999,0,3
1,-2.685001,72,54,44,52,16,16,22,999999,0,3
1,-2.591167,73,55,45,53,17,17,23,999999,0,3
1,-2.569342,72,56,46,54,16,16,21,999999,0,3
1,-2.564266,73,57,47,55,17,17,18,999999,0,3
1,-2.563086,72,58,48,56,16,16,19,999999,0,3
1,-2.921245,78,44,50,58,22,22,46,999999,0,3
1,-3.091309,78,44,50,58,22,22,46,999999,0,3
1,-3.130864,77,45,49,57,21,21,42,999999,0,3
1,-3.140064,77,45,49,57,21,21,42,999999,0,3
1,3.140982,77,45,49,57,21,21,42,999999,0,3
1,3.140841,76,46,48,56,20,20,33,999999,0,3
1,3.141347,76,46,48,56,20,20,33,999999,0,3
1,3.141465,75,47,47,55,19,19,25,999999,0,3
1,3.141492,75,47,47,55,19,19,25,999999,0,3
1,2.9497,63,55,45,53,7,7,27,30,1,3
1,2.853398,64,56,46,54,8,8,26,29,1,3
1,2.751916,64,56,46,54,8,8,26,29,1,3
1,2.654887,64,56,46,54,8,8,26,28,1,3
1,2.560538,63,57,45,53,7,7,28,28,1,3
1,2.460444,63,57,45,53,7,7,28,999999,0,3
1,2.350496,64,58,46,54,8,8,26,999999,0,3
1,2.237143,64,58,46,54,8,8,26,999999,0,3
1,2.128573,64,58,46,54,8,8,26,17,1,3
1,2.028746,64,60,48,54,8,8,24,16,1,3
1,1.960569,64,60,48,54,8,8,24,15,1,3
1,1.960569,64,60,48,54,8,8,24,15,1,3
1,-2.582661,64,60,48,54,8,8,24,999999,0,3
1,-2.216372,64,60,48,54,8,8,24,999999,0,3
1,-2.158903,64,60,48,54,8,8,24,999999,0,3
1,-2.158903,64,60,48,54,8,8,24,999999,0,3
1,-2.158903,64,60,48,54,8,8,24,999999,0,3
1,-2.918222,64,60,48,54,8,8,24,999999,0,3
1,-2.860351,64,60,48,54,8,8,24,999999,0,3
1,-2.846891,64,60,48,54,8,8,24,999999,0,3
1,-2.84376,63,61,49,53,7,7,26,999999,0,3
1,-2.877865,63,63,51,53,7,7,24,999999,0,3
1,-2.902597,63,63,51,53,7,7,24,999999,0,3
