@relation 'ALL-weka.filters.unsupervised.attribute.Remove-R1,3-4,6-9,15-16,18'

@attribute ' Behaviour' {0, 1}
@attribute ' Orientation' numeric
@attribute ' DistanceToEnemyFlagScore' numeric
@attribute ' DistanceToOwnFlagScore' numeric
@attribute ' DistanceToEnemyFlagSpawn' numeric
@attribute ' DistanceToOwnFlagSpawn' numeric
@attribute ' Visibility' numeric
@attribute ' GameState' numeric

@data
1,-0.951458,21,29,37,37,60,3
1,-3.126149,46,54,38,38,47,3
1,-2.135884,47,55,37,37,51,3
1,-2.401625,46,54,34,34,48,3
1,2.417622,47,55,37,37,51,3
1,2.297061,46,54,34,34,48,3
1,2.015354,45,53,37,37,55,3
1,1.928557,46,54,34,34,48,3
1,1.921802,45,53,37,37,55,3
1,1.842857,45,53,35,35,55,3
1,1.900042,45,53,37,37,55,3
1,1.822924,44,52,36,36,58,3
1,2.104608,44,52,38,38,51,3
1,1.818288,44,52,36,36,58,3
1,2.152186,43,51,37,37,57,3
0,2.945206,42,50,36,36,60,3
0,2.640252,40,48,36,36,65,3
0,-2.724517,40,48,36,36,65,3
0,-2.33608,40,48,36,36,65,3
0,-2.245744,40,48,34,34,66,3
0,-2.224732,40,48,34,34,66,3
0,-2.219846,40,48,34,34,66,3
0,-2.218709,41,49,33,33,63,3
0,-1.851389,41,49,33,33,63,3
0,-1.765964,41,49,33,33,63,3
0,-1.746095,42,50,32,32,59,3
0,-1.741474,41,49,31,31,65,3
0,-1.7404,42,50,30,30,63,3
0,-1.74015,42,50,30,30,63,3
0,-1.740091,42,50,30,30,63,3
0,-1.740078,43,51,29,29,56,3
0,-1.740075,43,51,29,29,56,3
0,-1.740074,44,52,28,28,53,3
0,-1.740074,44,52,28,28,53,3
0,-2.088305,8,0,46,46,46,3
0,-1.740074,44,52,28,28,53,3
0,-1.335334,8,0,46,46,46,3
0,-1.740074,45,53,27,27,56,3
0,-1.306675,9,1,45,45,47,3
0,3.079883,45,53,27,27,56,3
0,-1.370638,9,1,45,45,47,3
0,2.514456,43,51,27,27,63,3
0,-1.385515,10,2,44,44,48,3
0,2.382959,43,51,27,27,63,3
0,-1.388975,9,3,45,45,49,3
0,2.352374,43,51,27,27,63,3
0,-1.38978,11,5,43,43,51,3
0,2.345261,43,51,27,27,63,3
0,2.343607,41,49,27,27,68,3
0,2.312522,41,49,27,27,68,3
0,2.258883,41,49,27,27,68,3
0,2.246407,39,47,27,27,70,3
0,2.243506,39,47,27,27,70,3
0,2.646322,39,47,27,27,70,3
0,-2.933266,39,47,27,27,70,3
0,-2.101581,49,57,47,47,33,3
0,-2.769635,38,46,26,26,70,3
0,-2.080236,49,57,47,47,33,3
0,-2.731577,38,46,26,26,70,3
0,-2.302098,49,57,45,45,33,3
0,-2.722725,39,47,25,25,69,3
